Seed,Correlation
1.0,0.257975003993437
2.0,0.22913747074869548
3.0,0.2509229651567002
4.0,0.21752809696131323
5.0,0.2246457650813813
6.0,0.24138840609177342
7.0,0.2778700848717604
8.0,0.22566149286876544
9.0,0.22348117944544169
10.0,0.19839591617595334
11.0,0.2486854243673394
12.0,0.22559143627512643
13.0,0.2643127931724882
14.0,0.2689101322709002
15.0,0.24616049069776336
16.0,0.26471888049045134
17.0,0.2555851699163753
18.0,0.27265817226498784
19.0,0.20568752947938607
20.0,0.22425877358905624
21.0,0.3126390693474636
22.0,0.2692994738573068
23.0,0.24807364474837773
24.0,0.22463272510914065
25.0,0.19984324676417028
26.0,0.2263205267381084
27.0,0.2751111383680643
28.0,0.20982956785614734
29.0,0.25119810984267876
30.0,0.1977718187743402
31.0,0.22041528024740661
32.0,0.21890741674043168
33.0,0.22193249924755384
34.0,0.23751259756024845
35.0,0.1939252877232841
36.0,0.2105960958445812
37.0,0.27413609886510637
38.0,0.2082804542513789
39.0,0.25940487408906976
40.0,0.21943241745244188
41.0,0.20264798516507276
42.0,0.2807119883310508
43.0,0.19123011863718992
44.0,0.23578399825204333
45.0,0.26699758592475964
46.0,0.2996138223143623
47.0,0.24267022904645086
48.0,0.22061899526925427
49.0,0.21572961079275235
50.0,0.21060541001582408
51.0,0.25478118179134895
52.0,0.20253050209669013
53.0,0.19224189195610006
54.0,0.24771122200378953
55.0,0.22963154398002827
56.0,0.23156276853878724
57.0,0.2562045875843837
58.0,0.22129690591112214
59.0,0.20552517234858242
60.0,0.22990867366506337
61.0,0.2804162153576675
62.0,0.24965817397641382
63.0,0.23498754189932555
64.0,0.22042881157470395
65.0,0.2441917923063674
66.0,0.26570037779804
67.0,0.18334840910344533
68.0,0.22629576474375002
69.0,0.18931157872409748
70.0,0.23939695915325881
71.0,0.217763521603099
72.0,0.21167690270884326
73.0,0.18840409746821013
74.0,0.34130477255486136
75.0,0.2428327820535637
76.0,0.27595208835383284
77.0,0.2125509714828133
78.0,0.2198522288239637
79.0,0.18690990898483317
80.0,0.1906429457362287
81.0,0.18713073244563225
82.0,0.20043838765679028
83.0,0.23040865889520337
84.0,0.22196873427899036
85.0,0.21566948713058898
86.0,0.22479867266961404
87.0,0.17883580927923104
88.0,0.1931142153469806
89.0,0.23041552814624144
90.0,0.20439081947346016
91.0,0.21771106535285387
92.0,0.22291935411383715
93.0,0.2053481228683708
94.0,0.21168665472695794
95.0,0.2084019193630919
96.0,0.23260080762297733
97.0,0.23170177243124906
98.0,0.19582571833363704
99.0,0.21055386293791173
100.0,0.22613689267468273
101.0,0.27663239608313156
102.0,0.2723507657719683
103.0,0.2368366920271155
104.0,0.21602469535465216
105.0,0.22465108087890798
106.0,0.23668639501259858
