,Original,Cropped,Scaled,Rotated,Affined,2D Convoluted,Blurred,Noised,GCR / Marked
446,0.19687740998059153,0.2115666102598897,0.6324583697213338,0.5236864574936054,0.2018712381144409,0.6385524813243838,0.6385629281751282,0.593184478882034,0.645481790375356
447,0.23049144294299181,0.2229669393643759,0.8644582510323788,0.6966659400825567,0.21302944540933827,0.8693727797441867,0.8700369327054267,0.8464786432244091,0.8705693944043433
448,0.25346218440076246,0.24393831824875764,0.7925617822443746,0.6122761508840299,0.2511028542391507,0.798554301317513,0.7978866408972515,0.7453959884030223,0.7974660883622433
449,0.29870959628292887,0.22003126586102437,0.7472600496036715,0.6121534223773426,0.2138560987165234,0.750496400185656,0.7512953133896688,0.6909418875080503,0.7563709118843506
450,0.17825352335995587,0.16411449816149315,0.7202106335894044,0.6300390866621417,0.19414865169571766,0.7085616494548937,0.7093885341506021,0.6627563599208808,0.7267510445693339
451,0.1893791846129262,0.1620845976655876,0.7963007879005114,0.6733545299397853,0.19581347213829184,0.7642387137397333,0.7655988173399391,0.775406812231583,0.8223370813522896
452,0.21647038783326067,0.2153191290809107,0.8617687064227219,0.685227326262192,0.23855963282770334,0.8338230564984069,0.8352642805295312,0.8186889778007986,0.8731425145818781
453,0.2155303188211552,0.22311665145057064,0.8284117670669718,0.6487772768994813,0.22273341782262357,0.8431113670758548,0.8439432383416338,0.8209705446050826,0.8425901492181301
454,0.19796140964955425,0.21138737181513073,0.7566787243171675,0.6158683998010541,0.2448998919582558,0.7589899661066547,0.7603514942333104,0.7094908316890046,0.7715575227016652
455,0.2099800115268139,0.2161322866421806,0.4133833106663462,0.3758412740460303,0.21283691064484037,0.41303813252061466,0.4130597892637478,0.3747919793862808,0.421512232168497
456,0.24431094192461655,0.2613115155905758,0.8865326917717632,0.7128983181747023,0.22000190344806253,0.8742957377472571,0.8745809937245641,0.8515762054992708,0.8965514260999811
457,0.25203802421998855,0.21814096746948786,0.6768642188851055,0.5497955445555799,0.21002751673503228,0.6647131651191438,0.6650615440109043,0.6830842828884595,0.6779290091139945
458,0.2589023908434259,0.32553318484740595,0.7775734667695595,0.6516636511383187,0.23249192070504412,0.7807919191009152,0.7808848201952829,0.7390501193173328,0.7798088244952511
459,0.2523176103500805,0.22629658091559096,0.7803585033963228,0.6309802238581838,0.19092676323085225,0.7823183852591942,0.7827079730424876,0.7451370320845783,0.7855891053331666
460,0.22858154662828184,0.24940670738677284,0.8860506749093223,0.693971980999824,0.224331314649464,0.8885565220965559,0.8890524457075869,0.8655140908124105,0.8893541660091185
461,0.2487053053935428,0.22242481774123324,0.7678837911030455,0.602561517867755,0.2206789612043691,0.7750406633299934,0.7750857587333967,0.7362469575856937,0.775472328550326
462,0.2030797410179684,0.21159991943560716,0.7477068410885755,0.6328677013478493,0.21188448376496352,0.7483745257095862,0.7487299795771089,0.6739011321614738,0.7692832200014313
463,0.20853384870654035,0.19501917302463068,0.47574517033270974,0.38981622273307487,0.20670608690253375,0.5184294232548922,0.516798020948281,0.4398947433852029,0.4993714869692049
464,0.22439037410151388,0.241328083579344,0.7551886976506883,0.6500004525978718,0.2001712377763401,0.7456217334405542,0.7471876948109902,0.711603864661254,0.7574685864171102
465,0.20024320332885684,0.22587508192288924,0.8832313731996682,0.6915747612418226,0.22682842082758636,0.8628461658131569,0.8640157972836842,0.8699525400045288,0.8875799369542442
466,0.24046601232417364,0.22508090028504832,0.537195093701246,0.45832157624661085,0.24350338149687425,0.5608807429839916,0.5601899783246941,0.5218138059692536,0.5487262340049218
467,0.23503761792591482,0.2670810116407524,0.8076037293984537,0.6348034238430106,0.2163404456326402,0.8204535260713868,0.8201560804660143,0.7677597791891727,0.816926609790132
468,0.23926385907884565,0.19218179963103205,0.5873552592872903,0.5055750804085922,0.20861881555605785,0.5784293778046212,0.5795690425003435,0.5662162691919868,0.6008515408985744
469,0.23591007586240295,0.2521895467159399,0.8173655710761341,0.6596225271051581,0.22654970209040362,0.802409829621207,0.803127839804049,0.776521092926005,0.8202659309112561
470,0.2552511931173233,0.257164065391343,0.683361553263647,0.5653219776649854,0.2039755997081809,0.6924720987924242,0.6923559403932369,0.6394826200033855,0.6950922216383291
471,0.2631974773607363,0.2074979287519931,0.7875978126351763,0.6313123559947842,0.24249524349904872,0.7739237167891178,0.7746836610556334,0.7602919026055666,0.795602689107476
472,0.23703059391890194,0.2598504946806527,0.7539799470819881,0.6244590775530082,0.1860981954690981,0.7627711207272172,0.7621005897129357,0.7043747298134577,0.7633965693794168
473,0.2233864162822076,0.2097054446703037,0.6814168914709192,0.549347702777042,0.21075543826336984,0.680799836675736,0.6816252240303572,0.6460476851394995,0.6914449493977721
474,0.2085365275691562,0.1955076837424824,0.7490561865294091,0.6063632806064915,0.2129064920406529,0.7472365736974734,0.7480958704470505,0.7128074328547178,0.7640659573557271
475,0.2423890584816036,0.2704061273583703,0.6639907380388257,0.5811478353211815,0.19761939996581535,0.6526973034456701,0.6537234358285756,0.6226517277279731,0.6675539925944481
476,0.26230516783958896,0.22418687693255923,0.7904831164187814,0.6220972481791697,0.2184697373602728,0.7721129301167647,0.7730518494574834,0.7540764353200623,0.7934032247747596
477,0.25102218553877015,0.22619122347145615,0.8561368404593435,0.6927682432467637,0.22002146010942475,0.8418781665309729,0.8430994261580351,0.8280729837081017,0.8569286742366466
478,0.25004744574489074,0.21883266831013895,0.7989688981184412,0.6165701175065428,0.21380579084772908,0.8064528058470519,0.8071335097727443,0.7690808678099086,0.8050076354938835
479,0.2690011797746968,0.2436564217890969,0.6567802981762396,0.5158724897206378,0.2068859888380598,0.6684528570625909,0.668459501302106,0.637835833975562,0.662702773917581
480,0.18420625130343002,0.18003988758797956,0.5215705769421173,0.42682571667815256,0.20568083597061274,0.5432431969435728,0.5427417843352921,0.4901057646318688,0.5326338795896084
481,0.29750548076024724,0.2655748379578398,0.7319707781494834,0.5762133033543704,0.24344479283067316,0.7389777515295858,0.7396146547077146,0.7115236947044062,0.7396794120326754
482,0.21422305526798843,0.2472557126473854,0.7694724194305314,0.6171038460903765,0.2191328352942743,0.7495517564037976,0.7507377697206641,0.7033677136177712,0.7697943873967192
483,0.24400105117804524,0.22113077649564747,0.6744569141786771,0.5480330638248371,0.21940354504866777,0.702568497484711,0.7017423301517939,0.6261782506302142,0.6916455925530683
